Fe (at%),Ni  (at%),Co (at%),Coercivity (A/m),,,,,,,,,,,,,,,,,,,,,,
18.12,46.87,35.02,159.16,,,,,,,,,,,,,,,,,,,,,,
18.51,46.03,35.46,159.16,,,,,,,,,,,,,,,,,,,,,,
18.95,45.11,35.95,159.16,,,,,,,,,,,,,,,,,,,,,,
19.47,44.14,36.4,159.16,,,,,,,,,,,,,,,,,,,,,,
19.83,43.28,36.89,159.16,,,,,,,,,,,,,,,,,,,,,,
20.38,42.22,37.41,159.16,,,,,,,,,,,,,,,,,,,,,,
20.75,41.45,37.79,159.16,,,,,,,,,,,,,,,,,,,,,,
21.25,40.57,38.18,159.16,,,,,,,,,,,,,,,,,,,,,,
21.84,39.58,38.58,159.16,,,,,,,,,,,,,,,,,,,,,,
22.26,38.79,38.94,159.16,,,,,,,,,,,,,,,,,,,,,,
22.62,38.14,39.23,159.16,,,,,,,,,,,,,,,,,,,,,,
23.79,36.45,39.75,159.16,,,,,,,,,,,,,,,,,,,,,,
24.24,35.71,40.05,159.16,,,,,,,,,,,,,,,,,,,,,,
25.6,34,40.4,159.16,,,,,,,,,,,,,,,,,,,,,,
70.86,29.11,0.02,159.16,,,,,,,,,,,,,,,,,,,,,,
70.39,29.07,0.54,159.16,,,,,,,,,,,,,,,,,,,,,,
69.9,29.07,1.03,159.16,,,,,,,,,,,,,,,,,,,,,,
69.42,29.05,1.53,159.16,,,,,,,,,,,,,,,,,,,,,,
68.8,29.08,2.13,159.16,,,,,,,,,,,,,,,,,,,,,,
68.27,29.1,2.62,159.16,,,,,,,,,,,,,,,,,,,,,,
33.2,17.42,49.38,318.31,,,,,,,,,,,,,,,,,,,,,,
32.75,17.15,50.09,318.31,,,,,,,,,,,,,,,,,,,,,,
32.31,16.88,50.81,318.31,,,,,,,,,,,,,,,,,,,,,,
31.89,16.55,51.56,318.31,,,,,,,,,,,,,,,,,,,,,,
31.45,16.28,52.28,318.31,,,,,,,,,,,,,,,,,,,,,,
31.03,15.94,53.03,318.31,,,,,,,,,,,,,,,,,,,,,,
30.59,15.67,53.75,318.31,,,,,,,,,,,,,,,,,,,,,,
30.17,15.33,54.5,318.31,,,,,,,,,,,,,,,,,,,,,,
29.73,15.06,55.21,318.31,,,,,,,,,,,,,,,,,,,,,,
29.31,14.72,55.96,318.31,,,,,,,,,,,,,,,,,,,,,,
28.83,14.52,56.65,318.31,,,,,,,,,,,,,,,,,,,,,,
28.32,14.39,57.29,318.31,,,,,,,,,,,,,,,,,,,,,,
28.12,13.85,58.03,318.31,,,,,,,,,,,,,,,,,,,,,,
27.71,13.51,58.78,318.31,,,,,,,,,,,,,,,,,,,,,,
27.3,13.17,59.53,318.31,,,,,,,,,,,,,,,,,,,,,,
26.85,12.9,60.25,318.31,,,,,,,,,,,,,,,,,,,,,,
26.44,12.56,61,318.31,,,,,,,,,,,,,,,,,,,,,,
26.02,12.22,61.75,318.31,,,,,,,,,,,,,,,,,,,,,,
25.61,11.89,62.5,318.31,,,,,,,,,,,,,,,,,,,,,,
25.2,11.55,63.25,318.31,,,,,,,,,,,,,,,,,,,,,,
24.79,11.21,64,318.31,,,,,,,,,,,,,,,,,,,,,,
24.37,10.87,64.76,318.31,,,,,,,,,,,,,,,,,,,,,,
23.96,10.53,65.51,318.31,,,,,,,,,,,,,,,,,,,,,,
23.55,10.2,66.26,318.31,,,,,,,,,,,,,,,,,,,,,,
23.17,9.79,67.04,318.31,,,,,,,,,,,,,,,,,,,,,,
22.79,9.38,67.83,318.31,,,,,,,,,,,,,,,,,,,,,,
22.41,8.98,68.61,318.31,,,,,,,,,,,,,,,,,,,,,,
22,8.64,69.36,318.31,,,,,,,,,,,,,,,,,,,,,,
21.62,8.23,70.15,318.31,,,,,,,,,,,,,,,,,,,,,,
21.2,7.9,70.9,318.31,,,,,,,,,,,,,,,,,,,,,,
20.82,7.49,71.69,318.31,,,,,,,,,,,,,,,,,,,,,,
20.44,7.08,72.47,318.31,,,,,,,,,,,,,,,,,,,,,,
20.03,6.75,73.22,318.31,,,,,,,,,,,,,,,,,,,,,,
19.69,6.27,74.04,318.31,,,,,,,,,,,,,,,,,,,,,,
19.27,5.93,74.79,318.31,,,,,,,,,,,,,,,,,,,,,,
18.93,5.46,75.61,318.31,,,,,,,,,,,,,,,,,,,,,,
18.58,4.98,76.43,318.31,,,,,,,,,,,,,,,,,,,,,,
18.2,4.58,77.22,318.31,,,,,,,,,,,,,,,,,,,,,,
17.89,4.04,78.07,318.31,,,,,,,,,,,,,,,,,,,,,,
17.48,3.7,78.82,318.31,,,,,,,,,,,,,,,,,,,,,,
17,3.5,79.51,318.31,,,,,,,,,,,,,,,,,,,,,,
17.21,3.29,79.49,318.31,,,,,,,,,,,,,,,,,,,,,,
16.87,2.82,80.31,318.31,,,,,,,,,,,,,,,,,,,,,,
16.56,2.27,81.17,318.31,,,,,,,,,,,,,,,,,,,,,,
16.28,1.66,82.06,318.31,,,,,,,,,,,,,,,,,,,,,,
16,1.05,82.95,318.31,,,,,,,,,,,,,,,,,,,,,,
15.69,0.51,83.8,318.31,,,,,,,,,,,,,,,,,,,,,,
39.77,21.27,38.97,318.31,,,,,,,,,,,,,,,,,,,,,,
39.32,21,39.68,318.31,,,,,,,,,,,,,,,,,,,,,,
38.84,20.79,40.36,318.31,,,,,,,,,,,,,,,,,,,,,,
38.33,20.66,41.01,318.31,,,,,,,,,,,,,,,,,,,,,,
36.29,19.38,44.33,318.31,,,,,,,,,,,,,,,,,,,,,,
35.85,19.11,45.04,318.31,,,,,,,,,,,,,,,,,,,,,,
35.4,18.84,45.76,318.31,,,,,,,,,,,,,,,,,,,,,,
34.95,18.57,46.48,318.31,,,,,,,,,,,,,,,,,,,,,,
34.54,18.23,47.23,318.31,,,,,,,,,,,,,,,,,,,,,,
34.09,17.96,47.94,318.31,,,,,,,,,,,,,,,,,,,,,,
33.65,17.69,48.66,318.31,,,,,,,,,,,,,,,,,,,,,,
37.7,20.05,42.25,318.31,,,,,,,,,,,,,,,,,,,,,,
37.22,19.85,42.93,318.31,,,,,,,,,,,,,,,,,,,,,,
36.74,19.65,43.61,318.31,,,,,,,,,,,,,,,,,,,,,,
36.29,19.38,44.33,318.31,,,,,,,,,,,,,,,,,,,,,,
38.59,20.59,40.82,318.31,,,,,,,,,,,,,,,,,,,,,,
